original_value,short_value,notes
MIS Quarterly: Management Information Systems,MIS. Q.,
"{{SAC} '20: The 35th {ACM/SIGAPP} Symposium on Applied Computing, online event, [Brno, Czech Republic], March 30 - April 3, 2020}",Proceedings of ACM/SIGAPP SAC 2020,
Journal of Innovation in Digital Ecosystems,J. Innov. Digit. Ecosyst.,
The International Journal of Human Resource Management,Int. J. Hum. Resour. Man.,
Journal of Organizational Effectiveness,Journal of Organizational Effectiveness,
Human Resource Management,Hum. Resour. Manage.,
Journal of Business Strategy,Journal of Business Strategy,
"{Business Process Management Forum - {BPM} Forum 2020, Seville, Spain, September 13-18, 2020, Proceedings}",BPM Forum 2020,
Journal of Corporate Real Estate,Journal of Corporate Real Estate,
Group \& Organization Management,Group Organ. Manage.,
IEEE Transactions on Visualization and Computer Graphics,IEEE Trans. Vis. Comput. Graph.,
IEEE Transactions on Knowledge and Data Engineering,IEEE Trans. Knowl. Data Eng.,
{On the Move to Meaningful Internet Systems: OTM 2011},Proceedings of OTM Conferences 2011,
Journal of Open Source Software,J. Open Source Softw.,
Communications of the ACM,Commun. ACM,
{Proceedings of the 4th International Conference on the Practical Applications of Knowledge Discovery and Data Mining},Proceedings of the 4th International Conference on the Practical Applications of Knowledge Discovery and Data Mining,
{Business Process Management Forum - {BPM} Forum 2023},BPM Forum 2023,
Information Systems,Inf. Syst.,
Software Impacts,Softw. Impacts,
{Business Process Management Workshops - {BPM} 2013},BPM Workshops 2013,
Software \& Systems Modeling,Softw. Syst. Model.,
Academy of Management Annals,Acad. Manag. Ann.,
Journal of Healthcare Management,J. Healthc. Manag.,
{Process Mining Handbook},{Process Mining Handbook},
Transactions on Petri Nets and Other Models of Concurrency,Trans. Petri Nets Other Model. Concurr.,
